"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
121007953,"03/21/2012",1235,12,"HAND GUN","Invest Cont","18700    RUNNYMEDE                    ST","",-118.541,34.2057
121011326,"06/02/2012",1545,15,"HAND GUN","Invest Cont","LINDLEY                      AV","S  SHERMAN                      WY",-118.5273,34.2012
121012284,"06/24/2012",2000,20,"OTHER FIREARM","Invest Cont","7200    JAMIESON                     AV","",-118.5219,34.2012
121012437,"06/28/2012",310,3,"HAND GUN","Invest Cont","16500    HARTSOOK                     ST","",-118.4924,34.1636
121012626,"07/02/2012",950,9,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","18500    BURBANK                      BL","",-118.536,34.1724
121012712,"07/05/2012",5,0,"HAND GUN","Invest Cont","7100    VALJEAN                      AV","",-118.4859,34.1994
121013600,"07/24/2012",330,3,"HAND GUN","Invest Cont","17800    SHERMAN                      WY","",-118.5208,34.2011
121014782,"08/18/2012",135,1,"HAND GUN","Invest Cont","7100    VALJEAN                      AV","",-118.4859,34.1994
121019200,"11/21/2012",2245,22,"HAND GUN","Invest Cont","7100    VALJEAN                      AV","",-118.4859,34.1994
121100618,"03/09/2012",2005,20,"HAND GUN","Invest Cont","YORK","MILWAUKEE",-118.1922,34.1186
121100670,"04/02/2012",1850,18,"UNKNOWN FIREARM","Invest Cont","5600    MONTE VISTA                  ST","",-118.1958,34.1111
121100784,"05/29/2012",2210,22,"OTHER FIREARM","Invest Cont","AVENUE 56","IRVINGTON",-118.1977,34.1155
121100806,"06/09/2012",2325,23,"HAND GUN","Invest Cont","6100    PIEDMONT                     AV","",-118.1894,34.1131
121100828,"06/15/2012",2325,23,"HAND GUN","Invest Cont","5900    YORK                         BL","",-118.1908,34.1184
121100885,"07/09/2012",130,1,"UNKNOWN FIREARM","Invest Cont","QUEEN","RIPPLE",-118.2449,34.0986
121100901,"07/15/2012",20,0,"UNKNOWN FIREARM","Invest Cont","4000    EAGLE ROCK                   BL","",-118.2289,34.1201
121101088,"10/04/2012",200,2,"HAND GUN","Invest Cont","800    CHESTNUT                     AV","",-118.1714,34.1176
121104042,"01/01/2012",1730,17,"REVOLVER","Adult Arrest","2100    ALLESANDRO                   ST","",-118.2568,34.0923
121104270,"12/30/2011",1000,10,"UNKNOWN FIREARM","Invest Cont","4900    NEOLA                        PL","",-118.1945,34.1356
121104313,"01/06/2012",2350,23,"UNKNOWN FIREARM","Invest Cont","2600    IDELL                        ST","",-118.2248,34.086
121104427,"01/09/2012",1340,13,"HAND GUN","Invest Cont","AVENUE 34","MARGUERITE",-118.2386,34.1174
121106267,"02/15/2012",230,2,"UNKNOWN FIREARM","Invest Cont","2200    ALLESANDRO                   ST","",-118.2551,34.0938
121106668,"02/23/2012",1240,12,"UNKNOWN FIREARM","Invest Cont","AVENUE 54","ASH",-118.199,34.1106
121107931,"03/19/2012",15,0,"SHOTGUN","Invest Cont","2700 N  COOLIDGE                     AV","",-118.2444,34.1047
121108278,"03/25/2012",2245,22,"SEMI-AUTOMATIC PISTOL","Invest Cont","6400    ROBLE                        AV","",-118.182,34.1135
121108372,"03/27/2012",1820,18,"REVOLVER","Invest Cont","3200    SILVER LAKE                  BL","",-118.2544,34.113
