"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
130101121,"08/31/2013",300,3,"HAND GUN","Invest Cont","800 S  GRAND                        AV","",-118.2579,34.0459
130107496,"02/28/2013",1425,14,"REVOLVER","Adult Arrest","HOPE","VENICE",-118.2676,34.0365
130111328,"04/28/2013",330,3,"UNKNOWN FIREARM","Adult Other","600 N  BUNKER HILL                  AV","",-118.2446,34.0613
130111364,"04/28/2013",1700,17,"OTHER FIREARM","Adult Other","600 N  BUNKER HILL                  AV","",-118.2446,34.0613
130111366,"04/28/2013",300,3,"RIFLE","Adult Other","600 N  FIGUEROA                     ST","",-118.2463,34.0627
130118728,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130118729,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130118730,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130120292,"09/14/2013",230,2,"UNKNOWN FIREARM","Invest Cont","300    BLOOM                        ST","",-118.229,34.0633
130123966,"11/14/2013",2115,21,"UNKNOWN FIREARM","Invest Cont","CARDINAL","ELMYRA",-118.229,34.0633
130200604,"04/19/2013",1410,14,"HAND GUN","Invest Cont","600 S  BONNIE BRAE                  ST","",-118.2725,34.0585
130206332,"02/10/2013",200,2,"UNKNOWN FIREARM","Invest Cont","1600 W  6TH                          ST","",-118.2691,34.057
130209579,"04/06/2013",255,2,"UNKNOWN FIREARM","Invest Cont","BURLINGTON","6TH                          ST",-118.2711,34.0579
130210690,"04/23/2013",1755,17,"HAND GUN","Invest Cont","DILLON","MARATHON",-118.2767,34.0824
130210998,"04/26/2013",2350,23,"HAND GUN","Invest Cont","700    HARTFORD                     AV","",-118.2673,34.0522
130211123,"04/29/2013",2205,22,"UNKNOWN FIREARM","Invest Cont","NORMANDIE                    AV","MONROE",-118.3005,34.0856
130212048,"05/13/2013",120,1,"UNKNOWN FIREARM","Invest Cont","700    HARTFORD                     AV","",-118.2673,34.0522
130212331,"05/16/2013",1615,16,"HAND GUN","Invest Cont","600    SILVER LAKE                  BL","",-118.2791,34.0784
130213080,"05/29/2013",1740,17,"SEMI-AUTOMATIC PISTOL","Invest Cont","4000    MARATHON                     ST","",-118.2868,34.0846
130213124,"05/30/2013",100,1,"UNKNOWN FIREARM","Invest Cont","BONNIE BRAE","3RD                          ST",-118.2702,34.0619
130213576,"06/05/2013",2330,23,"UNKNOWN FIREARM","Invest Cont","1400    COLTON                       ST","",-118.2588,34.0639
130215615,"07/09/2013",2220,22,"UNKNOWN FIREARM","Invest Cont","4000    MARATHON                     ST","",-118.2868,34.0846
130217096,"08/07/2013",2005,20,"HAND GUN","Invest Cont","VIRGIL                       AV","MARATHON                     ST",-118.2868,34.0846
130218772,"09/09/2013",1855,18,"UNKNOWN FIREARM","Invest Cont","BIXEL","COURT",-118.257,34.0642
130222183,"11/14/2013",2030,20,"UNKNOWN FIREARM","Invest Cont","1400    VALENCIA                     ST","",-118.2759,34.0421
130223100,"12/04/2013",1130,11,"UNKNOWN FIREARM","Invest Cont","1100    WILSHIRE                     BL","",-118.2633,34.0524
130223163,"11/28/2013",130,1,"UNKNOWN FIREARM","Invest Cont","500 S  RAMPART                      BL","",-118.2805,34.0636
130223740,"12/16/2013",2205,22,"UNKNOWN FIREARM","Invest Cont","VIRGIL","LOCKWOOD",-118.2869,34.0887
130300567,"02/10/2013",540,5,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","3000 W  VERNON                       AV","",-118.3257,34.0037
130301065,"11/09/2013",1915,19,"UNKNOWN FIREARM","Invest Cont","28TH","BRONSON",-118.3338,34.0312
130301157,"12/16/2013",1545,15,"SHOTGUN","Adult Arrest","4100 S  NORMANDIE                    AV","",-118.3002,34.0091
130304637,"01/10/2013",1600,16,"UNKNOWN FIREARM","Invest Cont","800 W  43RD                         ST","",-118.2872,34.0055
130305899,"01/17/2013",2200,22,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","4100 S  FIGUEROA                     ST","",-118.2827,34.0094
130306162,"02/06/2013",300,3,"SEMI-AUTOMATIC PISTOL","Adult Arrest","5500 W  JEFFERSON                    BL","",-118.3662,34.0261
130310005,"04/06/2013",945,9,"SEMI-AUTOMATIC PISTOL","Invest Cont","5100    2ND                          AV","",-118.3193,33.9971
130310059,"04/07/2013",2045,20,"HAND GUN","Invest Cont","5400    CARLIN                       ST","",-118.3615,34.0305
130310984,"04/21/2013",1330,13,"UNKNOWN FIREARM","Invest Cont","1100 W  42ND                         ST","",-118.2941,34.0073
130312497,"05/13/2013",1900,19,"SEMI-AUTOMATIC PISTOL","Invest Cont","4300 S  WESTERN                      AV","",-118.3089,34.0052
130312546,"05/14/2013",1105,11,"HAND GUN","Invest Cont","1600    LEIGHTON                     AV","",-118.3089,34.0128
130312783,"05/17/2013",2310,23,"HAND GUN","Invest Cont","1500 W  22ND                         PL","",-118.2915,34.0357
130313777,"06/01/2013",1110,11,"HAND GUN","Invest Cont","EXPOSITION","S  BUDLONG                      AV",-118.2958,34.0184
130315423,"06/26/2013",2145,21,"HAND GUN","Invest Cont","1400 W  29TH                         ST","",-118.2915,34.0287
130317213,"07/27/2013",100,1,"HAND GUN","Invest Cont","3600    CRENSHAW                     BL","",-118.3351,34.0241
130317773,"08/06/2013",1820,18,"HAND GUN","Adult Arrest","4100    HALLDALE                     AV","",-118.3023,34.0093
130317882,"08/08/2013",1120,11,"HAND GUN","Invest Cont","4800 W  ADAMS                        BL","",-118.3451,34.0326
130318521,"08/18/2013",2210,22,"UNKNOWN FIREARM","Invest Cont","4800    2ND                          AV","",-118.3192,34.0001
130319905,"09/07/2013",1230,12,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","4800 W  ADAMS                        BL","",-118.3451,34.0326
130320402,"09/14/2013",300,3,"HAND GUN","Invest Cont","4300    9TH                          AV","",-118.3267,34.0055
130320687,"09/19/2013",2300,23,"HAND GUN","Invest Cont","4200 S  FLOWER                       ST","",-118.2815,34.0074
130321358,"09/30/2013",2335,23,"UNKNOWN FIREARM","Invest Cont","3600    RUTHELEN                     ST","",-118.3128,34.0219
130321628,"10/06/2013",330,3,"HAND GUN","Invest Cont","800 W  40TH                         PL","",-118.2872,34.0101
130322223,"10/15/2013",225,2,"UNKNOWN FIREARM","Invest Cont","W  24TH                         ST","CIMARRON",-118.3155,34.0349
130325526,"12/07/2013",1535,15,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","1500 W  35TH                         ST","",-118.3031,34.0246
130326358,"12/21/2013",1715,17,"UNKNOWN FIREARM","Invest Cont","4300 W  ADAMS                        BL","",-118.3333,34.0326
130326632,"12/25/2013",2000,20,"HAND GUN","Invest Cont","900 W  42ND                         ST","",-118.29,34.0074
130400503,"01/01/2013",5,0,"UNKNOWN FIREARM","Invest Cont","3200    MALABAR                      ST","",-118.1943,34.0449
130400518,"01/11/2013",1540,15,"UNKNOWN FIREARM","Invest Cont","2500    EASTLAKE                     AV","",-118.2078,34.0755
130400576,"02/17/2013",1425,14,"HAND GUN","Adult Arrest","5100    ITHACA                       AV","",-118.1754,34.0722
130400649,"03/25/2013",2220,22,"HAND GUN","Invest Cont","COMMODORE","MALLARD",-118.1964,34.0768
130400784,"06/18/2013",1950,19,"SHOTGUN","Adult Arrest","3100    MALABAR                      ST","",-118.1966,34.0459
130400804,"06/29/2013",1300,13,"UNKNOWN FIREARM","Invest Cont","1100    STONE                        ST","",-118.1932,34.0509
130400957,"09/28/2013",2330,23,"HAND GUN","Invest Cont","JOHNSTON                     ST","FONDA                        WY",-118.2101,34.0792
130400972,"10/05/2013",1900,19,"UNKNOWN FIREARM","Invest Cont","3200    FOLSOM                       ST","",-118.1954,34.0434
130400985,"10/13/2013",2345,23,"UNKNOWN FIREARM","Invest Cont","5200    ITHACA                       AV","",-118.1731,34.0742
130401015,"10/29/2013",1745,17,"UNKNOWN FIREARM","Invest Cont","1500    RICARDO                      ST","",-118.198,34.0602
130401020,"11/01/2013",2040,20,"UNKNOWN FIREARM","Invest Cont","2300    SHERIDAN                     ST","",-118.2078,34.0508
130401023,"11/03/2013",135,1,"HAND GUN","Adult Other","WHITTIER","LORENA",-118.1985,34.0267
130401113,"12/22/2013",1930,19,"HAND GUN","Adult Arrest","2200    ROGERS                       AV","",-118.2181,34.0362
130401116,"12/25/2013",100,1,"UNKNOWN FIREARM","Invest Cont","EAGLE                        ST","LORENA                       ST",-118.1944,34.0319
130404181,"01/06/2013",100,1,"UNKNOWN FIREARM","Invest Cont","3100    WABASH                       AV","",-118.1944,34.0489
130404441,"01/11/2013",1540,15,"UNKNOWN FIREARM","Invest Cont","2500    EASTLAKE                     AV","",-118.2078,34.0755
130404442,"01/11/2013",1540,15,"UNKNOWN FIREARM","Invest Cont","2500    EASTLAKE                     AV","",-118.2078,34.0755
130404636,"01/16/2013",1940,19,"UNKNOWN FIREARM","Invest Cont","2500    MEDFORD                      ST","",-118.1961,34.0632
130405169,"01/31/2013",120,1,"HAND GUN","Invest Cont","700    SPENCE                       ST","",-118.1971,34.0288
130405319,"02/03/2013",2130,21,"UNKNOWN FIREARM","Invest Cont","1900    MOZART                       ST","",-118.2191,34.0687
130405609,"02/11/2013",2230,22,"SHOTGUN","Invest Cont","3000    THE MALL","",-118.2112,34.0234
130406196,"02/26/2013",1700,17,"REVOLVER","Invest Cont","SHERIDAN                     ST","CUMMINGS",-118.2094,34.0519
130406785,"03/13/2013",1130,11,"HAND GUN","Invest Cont","3500    PERCY                        ST","",-118.1978,34.0277
130407704,"04/04/2013",2030,20,"RIFLE","Juv Arrest","600 N  CUMMINGS                     ST","",-118.2115,34.0502
130407976,"04/11/2013",1930,19,"UNKNOWN FIREARM","Invest Cont","2000    SHERIDAN                     ST","",-118.2111,34.0526
130408101,"04/15/2013",1630,16,"UNKNOWN FIREARM","Adult Other","3200 E  6TH                          ST","",-118.2022,34.0324
130408756,"05/01/2013",1520,15,"UNKNOWN FIREARM","Invest Cont","600 N  SOTO                         ST","",-118.206,34.0497
130410030,"06/05/2013",1810,18,"HAND GUN","Invest Cont","2700    WABASH                       AV","",-118.2001,34.0514
130410378,"06/15/2013",2230,22,"UNKNOWN FIREARM","Invest Cont","200 S  AVENUE 18","",-118.2224,34.0716
130410414,"06/16/2013",315,3,"UNKNOWN FIREARM","Invest Cont","5100    ALMONT                       ST","",-118.1695,34.0906
130411607,"07/16/2013",2115,21,"UNKNOWN FIREARM","Invest Cont","2300    HANCOCK                      ST","",-118.209,34.072
130411712,"07/19/2013",1220,12,"HAND GUN","Invest Cont","8TH","CONCORD",-118.2053,34.0218
130412818,"08/18/2013",235,2,"SHOTGUN","Invest Cont","1300    RIO VISTA                    AV","",-118.2219,34.0265
130412880,"08/19/2013",110,1,"HAND GUN","Invest Cont","3300 E  8TH                          ST","",-118.207,34.0226
130413929,"09/13/2013",2140,21,"UNKNOWN FIREARM","Invest Cont","300    GERTRUDE                     ST","",-118.2174,34.0444
130415036,"10/13/2013",1905,19,"UNKNOWN FIREARM","Invest Cont","400 N  BREED                        ST","",-118.2078,34.0488
130415905,"11/05/2013",1935,19,"UNKNOWN FIREARM","Invest Cont","FOLSOM                       ST","FOREST                       ST",-118.2009,34.0458
130416821,"12/02/2013",2000,20,"SEMI-AUTOMATIC PISTOL","Invest Cont","200 S  AVENUE 18","",-118.2224,34.0716
130417483,"12/21/2013",2120,21,"OTHER FIREARM","Invest Cont","EDLOFT                       AV","GREY                         DR",-118.1848,34.0841
130500557,"01/19/2013",2140,21,"HAND GUN","Adult Arrest","2000 S  PACIFIC                      AV","",-118.288,33.7261
130500615,"02/03/2013",2230,22,"UNKNOWN FIREARM","Invest Cont","400 W  3RD                          ST","",-118.2857,33.7415
130500616,"02/03/2013",2200,22,"UNKNOWN FIREARM","Invest Cont","400 W  3RD                          ST","",-118.2857,33.7415
130500634,"02/11/2013",1440,14,"UNKNOWN FIREARM","Invest Cont","1400 E  OPP                          ST","",-118.2463,33.7838
130500652,"02/14/2013",650,6,"HAND GUN","Invest Cont","2000 S  LELAND                       ST","",-118.3012,33.7261
130500757,"03/24/2013",200,2,"HAND GUN","Invest Cont","1300    WILMINGTON                   BL","",-118.2749,33.7887
130500886,"05/12/2013",410,4,"UNKNOWN FIREARM","Invest Cont","BLINN","CRUCES",-118.2456,33.7935
130500984,"06/23/2013",1020,10,"UNKNOWN FIREARM","Invest Cont","1300 W  CHANDLER                     ST","",-118.2785,33.7958
130500986,"06/23/2013",600,6,"UNKNOWN FIREARM","Invest Cont","300 W  SEPULVEDA                    ST","",-118.2835,33.7451
130501233,"09/28/2013",555,5,"UNKNOWN FIREARM","Invest Cont","PALOS VERDES                 ST","OFARRELL                     ST",-118.2817,33.746
130501287,"10/27/2013",400,4,"UNKNOWN FIREARM","Invest Cont","1500 W  207TH                        ST","",-118.304,33.8429
130504274,"01/06/2013",2120,21,"HAND GUN","Invest Cont","1500    BAYVIEW                      AV","",-118.2709,33.7929
130504631,"01/14/2013",1900,19,"UNKNOWN FIREARM","Invest Cont","1400 S  PALOS VERDES                 ST","",-118.2814,33.7315
130504801,"01/18/2013",2030,20,"HAND GUN","Adult Arrest","200 S  HARBOR                       BL","",-118.2796,33.7424
130504876,"01/21/2013",145,1,"SEMI-AUTOMATIC PISTOL","Invest Cont","1000 E  CRUCES                       ST","",-118.2512,33.7933
130505088,"01/25/2013",2330,23,"HAND GUN","Invest Cont","700    GULF                         AV","",-118.2727,33.778
130505090,"01/26/2013",115,1,"SEMI-AUTOMATIC PISTOL","Invest Cont","1000    MCDONALD                     AV","",-118.2712,33.7824
130505180,"01/27/2013",2050,20,"UNKNOWN FIREARM","Adult Other","1100    PIONEER                      AV","",-118.248,33.7851
130505219,"01/28/2013",2100,21,"UNKNOWN FIREARM","Invest Cont","500 W  12TH                         ST","",-118.2879,33.7333
130505234,"01/28/2013",1630,16,"UNKNOWN FIREARM","Invest Cont","1500 E  SANDISON                     ST","",-118.2456,33.7944
130505297,"01/30/2013",2210,22,"SEMI-AUTOMATIC PISTOL","Invest Cont","400 N  NEPTUNE                      AV","",-118.2685,33.7738
130505318,"01/29/2013",1830,18,"UNKNOWN FIREARM","Invest Cont","18TH","CABRILLO",-118.2946,33.7279
130505484,"02/04/2013",650,6,"SEMI-AUTOMATIC PISTOL","Invest Cont","900 W  OLIVER                       ST","",-118.2967,33.7468
130505529,"02/05/2013",1455,14,"UNKNOWN FIREARM","Invest Cont","L","HYATT",-118.2537,33.7872
130506152,"02/20/2013",1255,12,"UNKNOWN FIREARM","Invest Cont","1600    BROAD                        AV","",-118.262,33.7955
130506440,"02/25/2013",2300,23,"AUTOMATIC WEAPON/SUB-MACHINE GUN","Invest Cont","1600 W  259TH                        ST","",-118.3043,33.7882
130506976,"03/09/2013",225,2,"HAND GUN","Invest Cont","1500 E  O                            ST","",-118.2455,33.7927
130506977,"03/09/2013",225,2,"HAND GUN","Invest Cont","1400    BLINN                        AV","",-118.2455,33.7927
130507279,"03/15/2013",2020,20,"SEMI-AUTOMATIC PISTOL","Invest Cont","1600    WILMINGTON                   BL","",-118.2752,33.7951
130507862,"03/28/2013",2305,23,"HAND GUN","Invest Cont","3RD","WALKER",-118.3043,33.7415
130508131,"04/04/2013",1105,11,"HAND GUN","Invest Cont","BLINN","O",-118.2455,33.7927
130508944,"04/24/2013",1100,11,"UNKNOWN FIREARM","Invest Cont","1300    EUBANK                       AV","",-118.256,33.7892
130509632,"05/08/2013",100,1,"UNKNOWN FIREARM","Invest Cont","1300 S  LELAND                       ST","",-118.3012,33.7325
130509734,"05/10/2013",240,2,"HAND GUN","Invest Cont","1500 E  O                            ST","",-118.2455,33.7927
130509951,"05/13/2013",2235,22,"HAND GUN","Invest Cont","300    KING                         AV","",-118.2749,33.7735
130509984,"05/14/2013",2110,21,"HAND GUN","Invest Cont","500 W  8TH                          ST","",-118.2879,33.737
130510126,"05/17/2013",2105,21,"SEMI-AUTOMATIC PISTOL","Adult Arrest","1500    BLINN                        AV","",-118.2456,33.7944
130510284,"05/17/2013",2200,22,"UNKNOWN FIREARM","Invest Cont","1000 E  O                            ST","",-118.2511,33.7924
130511419,"06/18/2013",50,0,"REVOLVER","Invest Cont","1500 E  O                            ST","",-118.2455,33.7927
130511638,"06/22/2013",2110,21,"REVOLVER","Invest Cont","500 W  17TH                         ST","",-118.288,33.7288
130512554,"07/14/2013",2155,21,"SEMI-AUTOMATIC PISTOL","Invest Cont","400 S  MEYLER                       ST","",-118.2967,33.7406
130512756,"07/19/2013",2230,22,"UNKNOWN FIREARM","Invest Cont","252ND","MARIGOLD",-118.2959,33.7958
130512760,"07/19/2013",2300,23,"STRAIGHT RAZOR","Adult Arrest","800 W  3RD                          ST","",-118.2945,33.7415
130512796,"07/20/2013",1815,18,"UNKNOWN FIREARM","Invest Cont","253RD                        ST","VERMONT                      AV",-118.2908,33.7947
130513167,"07/30/2013",1710,17,"UNKNOWN FIREARM","Invest Cont","500 W  8TH                          ST","",-118.2879,33.737
130513657,"08/12/2013",1815,18,"UNKNOWN FIREARM","Invest Cont","500 W  9TH                          ST","",-118.2879,33.7361
130513839,"08/17/2013",300,3,"SHOTGUN","Invest Cont","1100 W  Q                            ST","",-118.2764,33.7943
130514031,"08/20/2013",2200,22,"HAND GUN","Adult Arrest","LELAND                       ST","24TH                         ST",-118.3012,33.7225
130515038,"09/11/2013",1110,11,"HAND GUN","Invest Cont","1600 W  206TH                        ST","",-118.3066,33.8438
130515072,"09/08/2013",2100,21,"UNKNOWN FIREARM","Invest Cont","900    BAYVIEW                      AV","",-118.27,33.781
130515200,"09/14/2013",1850,18,"SEMI-AUTOMATIC PISTOL","Invest Cont","1400    GULF                         AV","",-118.2739,33.7906
130515366,"09/16/2013",2325,23,"UNKNOWN FIREARM","Invest Cont","400 N  PALOS VERDES                 ST","",-118.2817,33.746
130516150,"10/05/2013",2300,23,"SEMI-AUTOMATIC PISTOL","Adult Arrest","600    BAYVIEW                      AV","",-118.27,33.7767
130517974,"11/15/2013",2250,22,"UNKNOWN FIREARM","Invest Cont","800 W  SEPULVEDA                    ST","",-118.2945,33.7456
130518017,"11/17/2013",30,0,"UNKNOWN FIREARM","Invest Cont","BLINN                        AV","DENNI                        ST",-118.245,33.7854
130518543,"11/30/2013",1945,19,"UNKNOWN FIREARM","Invest Cont","1500 W  ANAHEIM                      ST","",-118.302,33.7845
130613334,"05/11/2013",340,3,"REVOLVER","Invest Cont","6500    LA MIRADA                    AV","",-118.331,34.0935
130615063,"06/05/2013",2020,20,"HAND GUN","Invest Cont","SERRANO","ROMAINE",-118.3065,34.0885
130617094,"07/07/2013",215,2,"HAND GUN","Invest Cont","1400 N  GOWER                        ST","",-118.3223,34.0962
130617177,"07/08/2013",330,3,"REVOLVER","Adult Arrest","TAFT","HOLLYWOOD                    BL",-118.3147,34.1017
130617855,"07/11/2013",1700,17,"HAND GUN","Adult Arrest","6500    YUCCA                        ST","",-118.3311,34.1039
130618241,"07/23/2013",1725,17,"AIR PISTOL/REVOLVER/RIFLE/BB GUN","Adult Arrest","7300    FOUNTAIN                     AV","",-118.3501,34.0944
130619095,"08/06/2013",220,2,"SEMI-AUTOMATIC PISTOL","Invest Cont","6400    YUCCA                        ST","",-118.3297,34.104
130625819,"11/27/2013",1815,18,"HAND GUN","Invest Cont","5800    CARLTON                      WY","",-118.3166,34.1005
130625891,"11/29/2013",100,1,"UNKNOWN FIREARM","Invest Cont","1800 N  VAN NESS                     AV","",-118.3158,34.1038
130626089,"12/03/2013",1925,19,"HAND GUN","Adult Arrest","6200    DE LONGPRE                   AV","",-118.3237,34.0962
130709978,"05/18/2013",2230,22,"REVOLVER","Adult Other","1800    THURMAN                      AV","",-118.3647,34.0426
130713019,"07/29/2013",2020,20,"UNKNOWN FIREARM","Invest Cont","4500    PICKFORD                     ST","",-118.3376,34.0399
130800512,"01/04/2013",2050,20,"HAND GUN","Invest Cont","2300    CHARITON                     ST","",-118.378,34.0385
130801231,"07/22/2013",1100,11,"REVOLVER","Adult Arrest","1700    PURDUE                       AV","",-118.4493,34.0442
130811644,"07/15/2013",430,4,"RIFLE","Adult Arrest","2000 S  GARTH                        AV","",-118.3791,34.0408
130812539,"08/05/2013",1716,17,"UNKNOWN FIREARM","Invest Cont","500 S  SEPULVEDA                    BL","",-118.4602,34.0662
130812546,"08/05/2013",1840,18,"OTHER FIREARM","Adult Other","1600    BENEDICT CANYON              DR","",-118.4345,34.0998
130813069,"08/19/2013",1100,11,"UNKNOWN FIREARM","Invest Cont","2600    CHARITON                     ST","",-118.3791,34.036
130813070,"08/19/2013",1100,11,"UNKNOWN FIREARM","Invest Cont","2600    CHARITON                     ST","",-118.3791,34.036
130815656,"10/22/2013",2300,23,"UNKNOWN FIREARM","Invest Cont","2600 S  CORNING                      ST","",-118.3816,34.0356
130817004,"11/24/2013",1850,18,"HAND GUN","Adult Other","2800 S  CORNING                      ST","",-118.3821,34.0348
130900605,"02/17/2013",1130,11,"UNKNOWN FIREARM","Invest Cont","6500    FULTON                       AV","",-118.4225,34.1885
130900657,"03/09/2013",850,8,"UNKNOWN FIREARM","Invest Cont","5800    WOODMAN                      AV","",-118.4312,34.1758
130900899,"06/24/2013",745,7,"UNKNOWN FIREARM","Invest Cont","6500    HAZELTINE                    AV","",-118.44,34.1885
130901176,"10/20/2013",430,4,"UNKNOWN FIREARM","Invest Cont","15500    VANOWEN                      ST","",-118.4705,34.1939
130904825,"01/19/2013",2145,21,"UNKNOWN FIREARM","Invest Cont","13700    VANOWEN                      ST","",-118.4312,34.194
130906235,"02/17/2013",1805,18,"SHOTGUN","Adult Other","4400    MURIETTA                     AV","",-118.4383,34.1504
130906890,"03/03/2013",2215,22,"HAND GUN","Invest Cont","BURNET                       AV","CLARK                        ST",-118.4629,34.1685
130908013,"03/24/2013",2350,23,"UNKNOWN FIREARM","Invest Cont","14600    CALVERT                      ST","",-118.4509,34.1817
130908042,"03/25/2013",1500,15,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","14700    VICTORY                      BL","",-118.4531,34.1867
130914108,"07/23/2013",2340,23,"REVOLVER","Invest Cont","13700    WYANDOTTE                    ST","",-118.4313,34.2031
130917380,"09/24/2013",325,3,"HAND GUN","Invest Cont","14200    FRIAR                        ST","",-118.4422,34.1857
130917661,"09/28/2013",2150,21,"HAND GUN","Invest Cont","15300    COHASSET                     ST","",-118.4662,34.2066
130918278,"10/12/2013",940,9,"SEMI-AUTOMATIC PISTOL","Adult Other","14200    VANOWEN                      ST","",-118.4421,34.1939
131000578,"03/02/2013",2300,23,"HAND GUN","Invest Cont","4800    HAYVENHURST                  AV","",-118.4923,34.1576
131000627,"04/05/2013",230,2,"HAND GUN","Invest Cont","18200    SATICOY                      ST","",-118.5298,34.2084
131000628,"04/05/2013",2330,23,"HAND GUN","Invest Cont","6200    RESEDA                       BL","",-118.536,34.183
131000629,"04/05/2013",2310,23,"HAND GUN","Invest Cont","6200    RESEDA                       BL","",-118.536,34.183
131004863,"01/20/2013",1745,17,"HAND GUN","Invest Cont","SATICOY","WOODLEY",-118.4837,34.2085
131006353,"02/23/2013",1915,19,"REVOLVER","Invest Cont","SAN DIEGO                    FY","SHERMAN                      WY",-118.4733,34.2012
131006356,"02/22/2013",2313,23,"OTHER FIREARM","Invest Cont","18600    BURBANK                      BL","",-118.5393,34.1724
131006393,"02/25/2013",2355,23,"HAND GUN","Invest Cont","BLYTHE","GLORIA",-118.4793,34.2148
131008028,"04/01/2013",2355,23,"HAND GUN","Invest Cont","15700    SATICOY                      ST","",-118.4749,34.2085
131008526,"04/14/2013",540,5,"HAND GUN","Adult Arrest","5300    BALBOA                       BL","",-118.5011,34.1671
131008973,"04/24/2013",820,8,"HAND GUN","Invest Cont","18500    CLARK                        ST","",-118.536,34.1704
131009063,"04/25/2013",2235,22,"SHOTGUN","Invest Cont","8100    YARMOUTH                     AV","",-118.5197,34.2176
101000801,"07/24/2010",2100,21,"UNKNOWN FIREARM","Invest Cont","16700    VENTURA                      BL","",-118.497,34.1583
101707753,"03/08/2010",2040,20,"OTHER FIREARM","Invest Cont","11400    HASKELL                      AV","",-118.4759,34.2773
101014324,"07/29/2010",1820,18,"REVOLVER","Invest Cont","18800    VALERIO                      ST","",-118.5427,34.2048
101015369,"08/19/2010",2355,23,"HAND GUN","Invest Cont","18500    CLARK                        ST","",-118.536,34.1704
131013599,"08/11/2013",500,5,"HAND GUN","Invest Cont","6800    DE CELIS                     PL","",-118.4946,34.1939
101017827,"10/07/2010",2100,21,"HAND GUN","Invest Cont","7300    ETIWANDA                     AV","",-118.5317,34.2032
101019621,"11/13/2010",1835,18,"HAND GUN","Invest Cont","SHIRLEY","COHASSET",-118.5579,34.2066
131014447,"08/30/2013",1950,19,"HAND GUN","Invest Cont","KITTRIDGE","HAYVENHURST",-118.4924,34.1903
131014492,"09/01/2013",115,1,"HAND GUN","Invest Cont","8000    ZELZAH                       AV","",-118.5246,34.2157
101021497,"12/26/2010",2100,21,"HAND GUN","Invest Cont","7200    JAMIESON                     AV","",-118.5219,34.2012
131014904,"09/11/2013",150,1,"HAND GUN","Adult Arrest","15800    SATICOY                      ST","",-118.4771,34.2085
101100546,"01/13/2010",2100,21,"UNKNOWN FIREARM","Invest Cont","GRANADA","ISABEL",-118.2265,34.0973
101100556,"01/15/2010",2345,23,"UNKNOWN FIREARM","Invest Cont","2600    MERCED                       ST","",-118.2268,34.0898
101100614,"01/30/2010",1510,15,"HAND GUN","Invest Cont","TYBURN                       ST","HOLLYDALE",-118.2601,34.114
101100917,"05/02/2010",2045,20,"UNKNOWN FIREARM","Invest Cont","GLENDALE                     BL","GLENDALE                     FY",-118.2638,34.1154
131015047,"09/14/2013",120,1,"SHOTGUN","Adult Arrest","7100    WHITE OAK                    AV","",-118.5186,34.1993
101101007,"05/30/2010",2330,23,"SEMI-AUTOMATIC PISTOL","Invest Cont","BRUNSWICK","SEQUOIA",-118.269,34.1362
101101389,"10/12/2010",1850,18,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","3600    BRUNSWICK                    AV","",-118.2602,34.1185
101101516,"12/01/2010",2055,20,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","6600 N  FIGUEROA                     ST","",-118.1852,34.1232
101105210,"01/18/2010",1830,18,"SHOTGUN","Invest Cont","200 S  AVENUE 55","",-118.1948,34.106
101106693,"02/15/2010",2100,21,"HAND GUN","Invest Cont","3500    ARROYO SECO                  AV","",-118.2151,34.0878
101107109,"02/22/2010",1615,16,"UNKNOWN FIREARM","Invest Cont","3800 W  SUNSET                       BL","",-118.2788,34.091
101107947,"03/09/2010",2100,21,"UNKNOWN FIREARM","Invest Cont","1000    LANARK                       ST","",-118.1896,34.1342
101110699,"04/19/2010",2315,23,"UNKNOWN FIREARM","Invest Cont","PRESTON                      AV","AVALON                       ST",-118.2513,34.0882
101111424,"05/01/2010",2100,21,"HAND GUN","Invest Cont","4800    SAN MARCOS                   PL","",-118.2086,34.1099
101113060,"05/26/2010",1735,17,"HAND GUN","Invest Cont","5100    GRANADA                      ST","",-118.204,34.1101
101115287,"07/02/2010",2115,21,"HAND GUN","Adult Arrest","400 W  AVENUE 37","",-118.2136,34.0913
101117622,"08/11/2010",2325,23,"UNKNOWN FIREARM","Invest Cont","1500    LAKE SHORE                   AV","",-118.2585,34.0813
131017979,"11/21/2013",1000,10,"HAND GUN","Invest Cont","6700    HAYVENHURST                  AV","",-118.4924,34.1922
131018111,"11/24/2013",1750,17,"HAND GUN","Invest Cont","17200    HATTERAS                     ST","",-118.5076,34.1763
